,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_released,age,decades,day,month,markup,profitmargin,netprofit,genres,randomgenre
239,40,2007-08-03,The Bourne Ultimatum,130000000,227471070,444043396,2007,13,1,Friday,8,2.415718430769231,0.7072358216087511,314043396,"['Action', 'Drama', 'Mystery', 'Thriller']",Drama
240,41,2018-07-06,Ant-Man and the Wasp,130000000,216648740,623144660,2018,2,0,Friday,7,3.7934204615384615,0.7913807044418867,493144660,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Comedy
242,43,2015-07-17,Ant-Man,130000000,180202163,518858449,2015,5,0,Friday,7,2.9912188384615384,0.7494499699281181,388858449,"['Action', 'Adventure', 'Science Fiction']",Adventure
243,44,2015-03-27,Home,130000000,177397510,385997896,2015,5,0,Friday,3,1.9692145846153848,0.6632105994691743,255997896,"['Drama', 'Mystery']",Mystery
244,45,2018-12-19,Mary Poppins Returns,130000000,171958438,341528518,2018,2,0,Wednesday,12,1.6271424461538462,0.619358287380265,211528518,"['Comedy', 'Family', 'Fantasy']",Family
245,46,2011-10-28,Puss in Boots,130000000,149260504,554987477,2011,9,0,Friday,10,3.2691344384615384,0.7657604803936864,424987477,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Comedy
246,47,2010-11-05,Megamind,130000000,148415853,321887208,2010,10,1,Friday,11,1.4760554461538462,0.5961318226724934,191887208,"['Action', 'Animation', 'Comedy', 'Family', 'Science Fiction']",Action
248,49,2014-04-11,Rio 2,130000000,131538435,492846291,2014,6,0,Friday,4,2.7911253153846154,0.7362260762149065,362846291,"['Adventure', 'Animation', 'Comedy', 'Family']",Adventure
249,50,2010-07-23,Salt,130000000,118311368,290650494,2010,10,1,Friday,7,1.2357730307692307,0.552727407371962,160650494,"['Action', 'Mystery', 'Thriller']",Thriller
250,51,2014-03-28,Noah,130000000,101200044,352831065,2014,6,0,Friday,3,1.7140851153846153,0.6315517172502937,222831065,['Drama'],Drama
251,52,2011-12-21,The Adventures of Tintin,130000000,77591831,373993951,2011,9,0,Wednesday,12,1.8768765461538461,0.6524007951133948,243993951,"['Adventure', 'Animation', 'Mystery']",Animation
252,53,2013-05-31,After Earth,130000000,60522097,251499665,2013,7,0,Friday,5,0.9346128076923076,0.4831007031361255,121499665,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
254,55,2013-07-19,R.I.P.D.,130000000,33618855,79076678,2013,7,0,Friday,7,-0.3917178615384616,-0.6439739666352702,-50923322,"['Action', 'Comedy', 'Crime', 'Fantasy']",Action
258,59,2017-03-03,Logan,127000000,226277068,615461394,2017,3,0,Friday,3,3.8461527086614167,0.7936507452163604,488461394,"['Comedy', 'Drama', 'Family']",Comedy
259,60,2014-12-19,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,2014,6,0,Friday,12,1.7854852047244094,0.6409961186281231,226756621,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Fantasy
261,62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,2014,6,0,Friday,11,5.132601048,0.8369370529449122,641575131,"['Adventure', 'Science Fiction', 'Thriller']",Thriller
266,67,2011-04-29,Fast Five,125000000,210031325,630163454,2011,9,0,Friday,4,4.041307632,0.8016387665667454,505163454,"['Action', 'Crime', 'Thriller']",Crime
267,68,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,2014,6,0,Friday,8,2.880038032,0.7422705675169526,360004754,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",Fantasy
268,69,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,2011,9,0,Friday,12,3.285307544,0.7666445197381148,410663443,"['Action', 'Adventure', 'Crime', 'Mystery']",Mystery
270,71,2017-03-31,The Boss Baby,125000000,175003033,510878762,2017,3,0,Friday,3,3.0870300960000003,0.7553235536536161,385878762,"['Animation', 'Comedy', 'Family']",Comedy
271,72,2010-04-01,Clash of the Titans,125000000,163214888,493214888,2010,10,1,Thursday,4,2.945719104,0.7465607729181122,368214888,"['Action', 'Adventure', 'Fantasy']",Fantasy
