,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_released,age,decades,day,month,markup,profitmargin,netprofit,genres,randomgenre
76,77,2012-06-22,Brave,185000000,237282182,554606532,2012,8,0,Friday,6,1.997873145945946,0.6664301818933499,369606532,['Action'],Action
77,78,2017-03-10,Kong: Skull Island,185000000,168052812,561072059,2017,3,0,Friday,3,2.0328219405405403,0.6702740814972574,376072059,"['Action', 'Adventure', 'Fantasy']",Fantasy
78,79,2016-07-22,Star Trek Beyond,185000000,158848340,335802233,2016,4,0,Friday,7,0.8151472054054054,0.4490804949471554,150802233,"['Action', 'Adventure', 'Science Fiction']",Adventure
79,80,2017-10-06,Blade Runner 2049,185000000,92054159,259357408,2017,3,0,Friday,10,0.4019319351351352,0.2866986085857243,74357408,"['Action', 'Science Fiction', 'Thriller']",Science Fiction
81,82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,3,0,Friday,11,3.7054445777777776,0.7874802298761181,666980024,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Action
83,84,2014-05-30,Maleficent,180000000,241407328,758536735,2014,6,0,Friday,5,3.2140929722222222,0.7627010114414564,578536735,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",Family
84,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,4,0,Friday,11,3.4577936277777783,0.7756737786673846,622402853,"['Adventure', 'Family', 'Fantasy']",Family
87,88,2016-07-01,The Legend of Tarzan,180000000,126643061,348902025,2016,4,0,Friday,7,0.9383445833333334,0.4840958575691844,168902025,"['Action', 'Adventure']",Action
88,89,2011-11-23,Hugo,180000000,73864507,180047784,2011,9,0,Wednesday,11,0.00026546666666666665,0.00026539621281870373,47784,"['Adventure', 'Drama', 'Family']",Family
89,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,2017,3,0,Friday,7,0.19499086666666668,0.16317352048938952,35098356,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
90,91,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,2015,5,0,Friday,2,0.016662117318435754,0.016389041191368497,2982519,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action
92,93,2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,2016,4,0,Friday,5,2.0479637415730343,0.6719121076276627,364537546,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Adventure
93,94,2018-08-10,The Meg,178000000,145443742,529530715,2018,2,0,Friday,8,1.9748916573033708,0.6638533045245544,351530715,"['Action', 'Horror', 'Science Fiction', 'Thriller']",Horror
94,95,2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,2014,6,0,Friday,6,1.0816924494382023,0.5196216423468916,192541256,"['Action', 'Science Fiction']",Science Fiction
