,movie,imdb_rating,meta_score,runtime,gross,n_imdb
100, Ralph Breaks the Internet: Wreck-It Ralph 2 ,7.1,71.0,112,201.09,71.0
101, Tangled ,7.7,71.0,100,200.82,77.0
102, Godzilla ,6.4,62.0,123,200.68,64.0
103, Spectre ,6.8,60.0,148,200.07,68.0
104, Mission: Impossible - Rogue Nation ,7.4,75.0,131,195.04,74.0
105, 22 Jump Street ,7.0,71.0,112,191.72,70.0
106, Cars 2 ,6.1,57.0,106,191.45,61.0
107, Teenage Mutant Ninja Turtles ,5.8,31.0,101,191.2,58.0
108, Spider-Man: Into the Spider-Verse ,8.4,87.0,117,190.24,84.0
109, Wreck-It Ralph ,7.7,72.0,101,189.42,77.0
110, Dunkirk ,7.9,94.0,106,188.37,79.0
111, A Quiet Place ,7.5,82.0,90,188.02,75.0
112, Interstellar ,8.6,74.0,169,188.02,86.0
113, The Croods ,7.2,55.0,98,187.17,72.0
114, Sherlock Holmes: A Game of Shadows ,7.5,48.0,129,186.85,75.0
115, Pitch Perfect 2 ,6.4,63.0,115,184.3,64.0
116, The Revenant ,8.0,76.0,156,183.64,80.0
117, Lincoln ,7.3,86.0,150,182.21,73.0
118, Thor ,7.0,57.0,115,181.03,70.0
119, Ant-Man ,7.3,64.0,117,180.2,73.0
120, Men in Black 3 ,6.8,58.0,106,179.02,68.0
121, Home ,6.6,55.0,94,177.4,66.0
122, How to Train Your Dragon 2 ,7.8,76.0,102,177.0,78.0
123, Rise of the Planet of the Apes ,7.6,68.0,105,176.76,76.0
124, Captain America: The First Avenger ,6.9,66.0,124,176.65,69.0
125, The Karate Kid ,6.2,61.0,140,176.59,62.0
126, Get Out ,7.7,85.0,104,176.04,77.0
127, The Lego Batman Movie ,7.3,75.0,104,175.75,73.0
128, The Boss Baby ,6.3,50.0,97,175.0,63.0
129, Crazy Rich Asians ,6.9,74.0,120,174.53,69.0
130, The Greatest Showman ,7.6,48.0,105,174.34,76.0
131, Pirates of the Caribbean: Salazar's Revenge ,6.6,39.0,129,172.56,66.0
132, Tron ,6.8,49.0,125,172.06,68.0
133, Mary Poppins Returns ,6.7,66.0,130,171.96,67.0
134, True Grit ,7.6,80.0,110,171.24,76.0
135, The Help ,8.1,62.0,146,169.71,81.0
136, Hotel Transylvania 2 ,6.7,44.0,89,169.7,67.0
137, Hidden Figures ,7.8,74.0,127,169.61,78.0
138, Bridesmaids ,6.8,75.0,125,169.11,68.0
139, Kong: Skull Island ,6.6,62.0,118,168.05,66.0
140, Gone Girl ,8.1,79.0,149,167.77,81.0
141, Hotel Transylvania 3 ,6.3,54.0,97,167.51,63.0
142, Fifty Shades of Grey ,4.1,46.0,125,166.17,41.0
143, Kung Fu Panda 2 ,7.2,67.0,90,165.25,72.0
144, Clash of the Titans ,5.8,39.0,106,163.21,58.0
145, The SpongeBob Movie: Sponge Out of Water ,6.0,62.0,92,162.99,60.0
146, Django Unchained ,8.4,81.0,165,162.81,84.0
147, Jason Bourne ,6.6,58.0,123,162.43,66.0
